Name,Price,Category,Color,Size,Rating,Reviews,URL,Image URL,Product Number
LINNMON 린몬 / ADILS 아딜스,"35,000",테이블, 화이트,100x60 cm,4.5,67,https://www.ikea.com/kr/ko/p/linnmon-adils-table-white-s09246408/,https://www.ikea.com/kr/ko/images/products/linnmon-adils-table-white__0737165_pe740925_s5.jpg?f=s,09246408
MELLTORP 멜토르프,"69,900",테이블, 화이트,125x75 cm,4.7,43,https://www.ikea.com/kr/ko/p/melltorp-table-white-s89246372/,https://www.ikea.com/kr/ko/images/products/melltorp-table-white__0737266_pe740964_s5.jpg?f=s,89246372
DALSHULT 달스훌트,"299,000",테이블, 화이트/자작나무,185x90 cm,4.7,24,https://www.ikea.com/kr/ko/p/dalshult-table-white-birch-s29416857/,https://www.ikea.com/kr/ko/images/products/dalshult-table-white-birch__0993483_pe820568_s5.jpg?f=s,29416857
MICKE 미케,"69,900",책상, 화이트,73x50 cm,4.4,63,https://www.ikea.com/kr/ko/p/micke-desk-white-80354281/,https://www.ikea.com/kr/ko/images/products/micke-desk-white__0736022_pe740349_s5.jpg?f=s,80354281
LAGKAPTEN 락캅텐 / ADILS 아딜스,"59,000",책상, 화이트,120x60 cm,4.9,14,https://www.ikea.com/kr/ko/p/lagkapten-adils-desk-white-s09416759/,https://www.ikea.com/kr/ko/images/products/lagkapten-adils-desk-white__0977229_pe813472_s5.jpg?f=s,09416759
TORALD 토랄드,"35,000",책상+선반유닛, 화이트,65x40 cm,No Review,No Review,https://www.ikea.com/kr/ko/p/torald-desk-with-shelf-unit-white-70493956/,https://www.ikea.com/kr/ko/images/products/torald-desk-with-shelf-unit-white__1055403_pe847976_s5.jpg?f=s,70493956
NORDMYRA 노르드뮈라,"149,000",테이블, 화이트/자작나무무늬목,120x75 cm,4.4,7,https://www.ikea.com/kr/ko/p/nordmyra-table-white-birch-veneer-60489417/,https://www.ikea.com/kr/ko/images/products/nordmyra-table-white-birch-veneer__0573414_pe667762_s5.jpg?f=s,60489417
JOKKMOKK 요크모크,"179,000",테이블+의자4, 앤티크 스테인,No Size,4.9,33,https://www.ikea.com/kr/ko/p/jokkmokk-table-and-4-chairs-antique-stain-60365803/,https://www.ikea.com/kr/ko/images/products/jokkmokk-table-and-4-chairs-antique-stain__0736929_pe740809_s5.jpg?f=s,60365803
MUDDUS 무두스,"59,900",드롭리프테이블, 화이트,48/92x60 cm,4.4,27,https://www.ikea.com/kr/ko/p/muddus-drop-leaf-table-white-80160792/,https://www.ikea.com/kr/ko/images/products/muddus-drop-leaf-table-white__0736912_pe740802_s5.jpg?f=s,80160792
LENNART 렌나르트,"17,000",서랍유닛, 화이트,No Size,4.5,186,https://www.ikea.com/kr/ko/p/lennart-drawer-unit-white-10326178/,https://www.ikea.com/kr/ko/images/products/lennart-drawer-unit-white__0395412_pe564513_s5.jpg?f=s,10326178
