Name,Price,Category,Color,,Size,Rating,Reviews,URL,Image URL,Product Number
BARLAST 발라스트,15000,플로어스탠드, 블랙/화이트,블랙,150 cm,4.3,3,https://www.ikea.com/kr/ko/p/barlast-floor-lamp-black-white-10437812/,https://www.ikea.com/kr/ko/images/products/barlast-floor-lamp-black-white__0957676_pe805130_s5.jpg?f=s,10437812
LERSTA 레르스타,24900,플로어스탠드/독서등, 알루미늄,0,No Size,4.6,255,https://www.ikea.com/kr/ko/p/lersta-floor-reading-lamp-aluminium-20284248/,https://www.ikea.com/kr/ko/images/products/lersta-floor-reading-lamp-aluminium__0606034_pe681992_s5.jpg?f=s,20284248
BARLAST 발라스트,5000,탁상스탠드, 블랙/화이트,블랙,31 cm,No Review,No Review,https://www.ikea.com/kr/ko/p/barlast-table-lamp-black-white-10504566/,https://www.ikea.com/kr/ko/images/products/barlast-table-lamp-black-white__1032422_pe836908_s5.jpg?f=s,10504566
STRÅLA 스트롤라,10000,선전등, 화이트,0,4 m,4.8,5,https://www.ikea.com/kr/ko/p/strala-cord-set-white-40366945/,https://www.ikea.com/kr/ko/images/products/strala-cord-set-white__0577029_pe668478_s5.jpg?f=s,40366945
FADO 파도,24900,탁상스탠드, 화이트,0,25 cm,4.9,17,https://www.ikea.com/kr/ko/p/fado-table-lamp-white-30283899/,https://www.ikea.com/kr/ko/images/products/fado-table-lamp-white__0606976_pe682645_s5.jpg?f=s,30283899
DEJSA 데이사,49900,탁상스탠드, 베이지/오팔 화이트 유리,화이트,28 cm,5,9,https://www.ikea.com/kr/ko/p/dejsa-table-lamp-beige-opal-white-glass-20404991/,https://www.ikea.com/kr/ko/images/products/dejsa-table-lamp-beige-opal-white-glass__0967540_pe810183_s5.jpg?f=s,20404991
LERSTA 레르스타,24900,플로어스탠드/독서등, 화이트,0,No Size,4.6,33,https://www.ikea.com/kr/ko/p/lersta-floor-reading-lamp-white-70443947/,https://www.ikea.com/kr/ko/images/products/lersta-floor-reading-lamp-white__0728873_pe736563_s5.jpg?f=s,70443947
ISJAKT 이샥트,129000,LED상향식플로어스탠드/독서등, 밝기조절/니켈 도금,0,180 cm,5,1,https://www.ikea.com/kr/ko/p/isjakt-led-floor-uplighter-reading-lamp-dimmable-nickel-plated-90459715/,https://www.ikea.com/kr/ko/images/products/isjakt-led-floor-uplighter-reading-lamp-dimmable-nickel-plated__1006753_pe825819_s5.jpg?f=s,90459715
HEKTOGRAM 헥토그람,29900,상향식플로어스탠드, 실버/화이트,0,No Size,4.8,13,https://www.ikea.com/kr/ko/p/hektogram-floor-uplighter-silver-colour-white-40477731/,https://www.ikea.com/kr/ko/images/products/hektogram-floor-uplighter-silver-colour-white__0941175_pe795353_s5.jpg?f=s,40477731
MOLGAN 몰간,6000,LED조명, 화이트/배터리식,화이트,No Size,4.3,22,https://www.ikea.com/kr/ko/p/molgan-led-lighting-white-battery-operated-80307591/,https://www.ikea.com/kr/ko/images/products/molgan-led-lighting-white-battery-operated__0609826_pe684648_s5.jpg?f=s,80307591
TERTIAL 테르티알,24900,독서등, 화이트,0,No Size,4.8,34,https://www.ikea.com/kr/ko/p/tertial-work-lamp-white-60355724/,https://www.ikea.com/kr/ko/images/products/tertial-work-lamp-white__0609308_pe684439_s5.jpg?f=s,60355724
SVALLET 스발레트,7000,독서등, 다크그레이/화이트,블랙,No Size,4.1,24,https://www.ikea.com/kr/ko/p/svallet-work-lamp-dark-grey-white-00358495/,https://www.ikea.com/kr/ko/images/products/svallet-work-lamp-dark-grey-white__0703502_pe724751_s5.jpg?f=s,358495
TÅGARP 토가르프,25000,상향식플로어스탠드/독서등, 블랙/화이트,블랙,No Size,4.5,2,https://www.ikea.com/kr/ko/p/tagarp-floor-uplighter-reading-lamp-black-white-00486394/,https://www.ikea.com/kr/ko/images/products/tagarp-floor-uplighter-reading-lamp-black-white__0965083_pe809330_s5.jpg?f=s,486394
B_JA 뵈야,39900,탁상스탠드, 대나무/핸드메이드,우드,No Size,4.7,34,https://www.ikea.com/kr/ko/p/boeja-table-lamp-bamboo-handmade-50283898/,https://www.ikea.com/kr/ko/images/products/boeja-table-lamp-bamboo-handmade__0606973_pe682643_s5.jpg?f=s,50283898
ÅRSTID 오르스티드,49900,플로어스탠드, 황동/화이트,0,No Size,4.8,52,https://www.ikea.com/kr/ko/p/arstid-floor-lamp-brass-white-80321323/,https://www.ikea.com/kr/ko/images/products/arstid-floor-lamp-brass-white__0390610_pe566328_s5.jpg?f=s,80321323
N_VLINGE 네블링에,24900,LED집게형조명, 화이트,0,No Size,4.4,9,https://www.ikea.com/kr/ko/p/naevlinge-led-clamp-spotlight-white-50449894/,https://www.ikea.com/kr/ko/images/products/naevlinge-led-clamp-spotlight-white__0710474_pe727575_s5.jpg?f=s,50449894
KRUX 크룩스,39900,LED작업등, 옐로,0,No Size,4.5,2,https://www.ikea.com/kr/ko/p/krux-led-work-lamp-yellow-10429954/,https://www.ikea.com/kr/ko/images/products/krux-led-work-lamp-yellow__0540967_pe653372_s5.jpg?f=s,10429954
ÅRSTID 오르스티드,29900,탁상스탠드, 황동/화이트,0,No Size,4.7,63,https://www.ikea.com/kr/ko/p/arstid-table-lamp-brass-white-00321379/,https://www.ikea.com/kr/ko/images/products/arstid-table-lamp-brass-white__0609329_pe684454_s5.jpg?f=s,321379
